sample,MeanTempRate,Ndays35Rate,Ndays5Rate,RainRate,NDays35.5YrMean,NDays35.5Yr.Sum,NDays35.10YrMean,NDays35.10Yr.Sum,Ndays5.5YrMean,Ndays5.5YrSum,Ndays5.10YrMean,Ndays5.10YrSum,Tmean.5YrMean,Tmean.10YrMean,TotalRain.5YrSum,TotalRain.10YrSum
ANWC100,-0.044695011,-0.32556391,0.807518797,8.15E-05,53.6,268,58.4,584,45.4,227,44,440,19.7080121,19.76493615,0.025529847,0.060552539
ANWC101,-0.04252688,-0.423308271,1.246616541,0.000161536,48.4,242,53.2,532,71.2,356,67.7,677,19.08388801,19.08387274,0.035496652,0.08610824
ANWC102,-0.044235716,-0.518045113,1.259398496,0.000211287,45.6,228,50.2,502,72.2,361,68.7,687,18.8675159,18.8748178,0.036987229,0.0964597
ANWC103,-0.056849864,-0.378947368,1.27443609,0.000172625,33.4,167,38,380,74.4,372,73.3,733,17.38003143,17.43887096,0.056334022,0.124940066
ANWC104,-0.037513274,-0.098496241,0.636842105,4.06E-05,26.2,131,27.6,276,48.2,241,45.5,455,17.24707656,17.24624442,0.045194242,0.098205005
ANWC105,-0.118261649,-1.490225564,0.839849624,0.000192301,49,245,58.7,587,55.4,277,52.3,523,20.11318781,20.39053322,0.065956774,0.163078218
ANWC106,-0.109426395,-1.154135338,0.536090226,0.000237329,60.8,304,65.1,651,46.6,233,42.8,428,20.38501906,20.5927034,0.060458845,0.13965864
ANWC107,-0.109426395,-1.154135338,0.536090226,0.000237329,60.8,304,65.1,651,46.6,233,42.8,428,20.38501906,20.5927034,0.060458845,0.13965864
ANWC108,-0.102811135,-0.578195489,0.097744361,9.72E-05,42.6,213,49.7,497,31,155,28.7,287,19.23104041,19.4350451,0.036535789,0.07694762
ANWC109,-0.107284847,-0.618045113,0.733082707,0.000204218,41.4,207,48.1,481,52.8,264,45.9,459,18.50781871,18.73232367,0.0502511,0.097742941
ANWC110,-0.121746444,-0.412781955,0.90075188,0.000283027,25.6,128,24.3,243,90.6,453,86.5,865,16.3688859,16.42553275,0.076946572,0.179636402
ANWC112,-0.033802164,1.236842105,0,0.000814777,183.8,919,184.6,1846,0,0,0,0,27.86279564,28.03468065,0.130849964,0.257626741
ANWC113,-0.018486178,-1.163909774,-0.004511278,0.000972282,170.8,854,171.8,1718,0,0,0.3,3,27.82864841,27.65944881,0.158129508,0.328519112
ANWC115,-0.026673252,-0.22481203,0.013533835,0.000265724,102.8,514,130.6,1306,18.6,93,22.6,226,24.07564848,24.11798964,0.06557776,0.106502279
ANWC116,-0.048060266,-0.278947368,0.013533835,0.000296865,104.4,522,129.8,1298,18.6,93,22.6,226,23.8214012,24.11313748,0.062258405,0.106502279
ANWC117,-0.088866761,-0.336842105,1.360902256,0.000493686,30.2,151,40.2,402,68.8,344,67.1,671,19.78446999,19.78799278,0.107494948,0.200943131
ANWC118,-0.07247701,-0.371428571,1.360902256,0.000460956,29.6,148,40.1,401,68.8,344,67.1,671,20.06874412,19.78289866,0.106946561,0.200714099
ANWC119,-0.01488512,2.909774436,0,0.000408544,153.4,767,148.2,1482,0,0,0,0,27.8094959,27.89695789,0.256004674,0.493214583
ANWC126,0.021419112,0.578947368,0.57593985,6.93E-05,66,330,58.4,584,50.2,251,49.6,496,20.12780674,19.93412213,0.025469425,0.055604464
ANWC128,0.015375861,1.101503759,1.036842105,0.000121925,85,425,73.4,734,52.8,264,50.9,509,20.96908236,20.65639563,0.033085238,0.073657174
ANWC129,0.01408187,1.182706767,1.146616541,0.000129607,86.8,434,75.7,757,53.6,268,50.3,503,21.07826896,20.75789575,0.03387087,0.075126294
ANWC130,0.014355162,0.870676692,1.052631579,0.000115207,83.4,417,72.1,721,53.4,267,50.5,505,20.89593693,20.60551224,0.032535103,0.071646657
ANWC131,0.012529801,0.903759398,1.036090226,0.000126043,82.6,413,71.1,711,53.6,268,51,510,20.85160976,20.547709,0.034160622,0.075211038
ANWC132,0.011707533,1.113533835,0.995488722,0.000136787,92.4,462,80.6,806,49.4,247,50.1,501,21.40463955,21.04240048,0.03746619,0.080910757
ANWC133,0.011707533,1.113533835,0.995488722,0.000136787,92.4,462,80.6,806,49.4,247,50.1,501,21.40463955,21.04240048,0.03746619,0.080910757
ANWC134,0.012939044,1.185714286,1.180451128,0.000150345,87.8,439,75.3,753,54.6,273,55.2,552,21.04954769,20.6896672,0.038693102,0.08380782
ANWC135,0.010961589,1.336842105,1.496992481,0.000180202,94.4,472,80.2,802,57.8,289,57.6,576,21.24957778,20.8703568,0.041779781,0.088901629
ANWC136,0.010961589,1.336842105,1.496992481,0.000180202,94.4,472,80.2,802,57.8,289,57.6,576,21.24957778,20.8703568,0.041779781,0.088901629
ANWC137,-0.047581844,-1.081203008,0,0.000913266,100.2,501,92.4,924,0,0,0,0,27.16625004,27.11242394,0.171191893,0.381930123
ANWC138,-0.047581844,-1.081203008,0,0.000913266,100.2,501,92.4,924,0,0,0,0,27.16625004,27.11242394,0.171191893,0.381930123
ANWC139,-0.048644155,-1.192481203,0,0.000918973,105.4,527,98.1,981,0,0,0,0,27.1910442,27.12538703,0.165899491,0.377799503
ANWC140,-0.018486178,-1.163909774,-0.004511278,0.000972282,170.8,854,171.8,1718,0,0,0.3,3,27.82864841,27.65944881,0.158129508,0.328519112
ANWC141,-0.027222826,-0.166917293,0,0.001083827,148.8,744,142.3,1423,0,0,0,0,27.18827165,27.13127165,0.181912492,0.364440398
ANWC142,-0.027222826,-0.166917293,0,0.001083827,148.8,744,142.3,1423,0,0,0,0,27.18827165,27.13127165,0.181912492,0.364440398
ANWC143,-0.027222826,-0.166917293,0,0.001083827,148.8,744,142.3,1423,0,0,0,0,27.18827165,27.13127165,0.181912492,0.364440398
ANWC144,-0.074434527,-0.927067669,0.160902256,0.000825271,164.8,824,154.5,1545,2.2,11,2.2,22,26.60943743,26.47391234,0.144292235,0.312018693
ANWC145,-0.049297794,0.003759398,0,0.000455132,145.4,727,145.1,1451,0,0,0,0,26.72309262,26.70426207,0.153191841,0.325088376
ANWC146,-0.049297794,0.003759398,0,0.000455132,145.4,727,145.1,1451,0,0,0,0,26.72309262,26.70426207,0.153191841,0.325088376
ANWC147,-0.021390483,1.377443609,0.030075188,-6.26E-05,217.2,1086,209.6,2096,0.4,2,1.3,13,27.68644311,27.51919661,0.085839815,0.183446121
ANWC148,-0.021390483,1.377443609,0.030075188,-6.26E-05,217.2,1086,209.6,2096,0.4,2,1.3,13,27.68644311,27.51919661,0.085839815,0.183446121
ANWC150,-0.02260298,1.329323308,0.036842105,-6.99E-05,206.4,1032,199.4,1994,0.4,2,1.5,15,27.37932173,27.22285803,0.083251702,0.179159183
ANWC151,-0.021390483,1.377443609,0.030075188,-6.26E-05,217.2,1086,209.6,2096,0.4,2,1.3,13,27.68644311,27.51919661,0.085839815,0.183446121
ANWC152,-0.020389345,1.408270677,3.01E-17,-7.08E-05,214.4,1072,206.2,2062,0.4,2,1.2,12,27.62069537,27.47466636,0.072722666,0.160719677
ANWC153,-0.020389345,1.408270677,3.01E-17,-7.08E-05,214.4,1072,206.2,2062,0.4,2,1.2,12,27.62069537,27.47466636,0.072722666,0.160719677
ANWC154,-0.020389345,1.408270677,3.01E-17,-7.08E-05,214.4,1072,206.2,2062,0.4,2,1.2,12,27.62069537,27.47466636,0.072722666,0.160719677
ANWC155,-0.020704868,1.453383459,3.01E-17,-5.52E-05,221,1105,212,2120,0.4,2,1.2,12,27.78367761,27.63846262,0.073209095,0.1611649
ANWC156,-0.020704868,1.453383459,3.01E-17,-5.52E-05,221,1105,212,2120,0.4,2,1.2,12,27.78367761,27.63846262,0.073209095,0.1611649
ANWC157,-0.022023031,1.493984962,0.018045113,-7.60E-05,222.2,1111,213.6,2136,0.4,2,1.2,12,27.81714821,27.67560035,0.073332691,0.161584558
ANWC158,-0.037829544,0.719548872,0.019548872,-0.000200152,168.6,843,165.8,1658,0.8,4,1.1,11,26.43122428,26.15821886,0.094872145,0.223868292
ANWC159,-0.037829544,0.719548872,0.019548872,-0.000200152,168.6,843,165.8,1658,0.8,4,1.1,11,26.43122428,26.15821886,0.094872145,0.223868292
ANWC160,-0.027631395,0.811278195,-0.002255639,-9.93E-05,179,895,174.3,1743,0.8,4,0.7,7,26.69767304,26.41851614,0.087937855,0.204326977
ANWC161,-0.027631395,0.811278195,-0.002255639,-9.93E-05,179,895,174.3,1743,0.8,4,0.7,7,26.69767304,26.41851614,0.087937855,0.204326977
ANWC162,-0.048008566,0.120300752,0.160150376,-0.000187001,168.2,841,163.4,1634,3,15,3.8,38,26.24642932,26.03170265,0.092543989,0.218535577
ANWC163,-0.048544108,0.161654135,0.163157895,-0.000174237,165.8,829,160.8,1608,3.2,16,4,40,26.16916364,25.9605868,0.095142984,0.222641857
ANWC168,-0.082062217,-0.366917293,0.25112782,0.000162483,53.8,269,62.4,624,26.8,134,29.4,294,22.34265146,22.46027942,0.09193041,0.162275764
ANWC170,-0.067963159,-0.34962406,-0.272932331,0.000272123,47,235,54.3,543,14.2,71,16.1,161,22.45206396,22.60640115,0.109548189,0.192643139
ANWC66,-0.075512801,-2.545112782,-0.009774436,0.0013459,76,380,89.1,891,0,0,0,0,26.61861359,26.69348172,0.196911669,0.315482677
ANWC67,-0.075512801,-2.545112782,-0.009774436,0.0013459,76,380,89.1,891,0,0,0,0,26.61861359,26.69348172,0.196911669,0.315482677
ANWC68,-0.070547026,-2.839849624,0,0.001295635,67.2,336,80.4,804,0,0,0,0,26.73239476,26.79018512,0.196761117,0.317589222
ANWC69,-0.070547026,-2.839849624,0,0.001295635,67.2,336,80.4,804,0,0,0,0,26.73239476,26.79018512,0.196761117,0.317589222
ANWC71,-0.181686302,-0.151879699,0.976691729,0.000229994,73.4,367,74.2,742,53.6,268,48.3,483,20.49538764,20.63093867,0.047784588,0.113999684
ANWC72,0.018092716,0.72481203,-0.176691729,0.000110516,78.2,391,77.2,772,36.2,181,32.5,325,20.85815878,20.87814161,0.035813794,0.065223983
ANWC73,0.018092716,0.72481203,-0.176691729,0.000110516,78.2,391,77.2,772,36.2,181,32.5,325,20.85815878,20.87814161,0.035813794,0.065223983
ANWC75,0.039343091,1.24887218,-0.80075188,0.00036341,100,500,98.1,981,51.2,256,48.1,481,21.61466553,21.80651975,0.064636161,0.097194462
ANWC77,-0.005447681,0.9,0.188721805,0.000390429,92.4,462,89.6,896,48.6,243,46.3,463,21.56178586,21.48614021,0.054252493,0.096242282
ANWC78,-0.043079049,-0.045864662,1.166165414,0.000531473,101.2,506,107.7,1077,50,250,40.7,407,22.28850773,22.61213422,0.080500355,0.131456499
ANWC79,-0.032892848,1.464661654,0.05037594,0.000304314,153.6,768,156.4,1564,2.6,13,1.4,14,25.2351565,25.47497169,0.069656064,0.123627559
ANWC80,-0.032464703,0.882706767,-0.027819549,0.000569928,143,715,150.7,1507,0,0,0,0,25.49510282,25.81463976,0.098077051,0.175736682
ANWC81,0.040392266,1.179699248,-0.015037594,2.52E-05,51.8,259,46.4,464,1.2,6,0.7,7,22.18058573,21.99623342,0.046379484,0.084048571
ANWC84,-0.034151451,1.616541353,NA,-0.0001962,153.2,766,140,1400,NA,NA,NA,NA,27.63413874,27.50953794,0.107554165,0.22401577
ANWC85,-0.038141185,1.339097744,NA,-0.000133967,133,665,120.4,1204,NA,NA,NA,NA,27.4439723,27.36296078,0.127574788,0.239202192
ANWC88,-0.078498882,-0.779699248,NA,0.000156052,26.6,133,26.3,263,NA,NA,NA,NA,16.83454658,16.79187237,0.069044616,0.116232567
ANWC90,-0.028411476,0.008270677,NA,0.000292885,5.6,28,8,80,NA,NA,NA,NA,16.73471283,16.66832599,0.083900298,0.140501013
ANWC92,-0.024596046,-0.032330827,NA,0.000308607,3.4,17,4.1,41,NA,NA,NA,NA,16.11662605,16.0444161,0.101225469,0.171818475
ANWC94,-0.037101166,0.104511278,0.353383459,0.000311671,28.8,144,30,300,27.8,139,29.1,291,17.80944299,17.68378566,0.078798119,0.130701447
SAM11,-0.0775813,-0.644360902,0.153383459,-4.19E-05,108.6,543,116.9,1169,29.2,146,29.9,299,22.7747934,22.96894599,0.022794202,0.047579242
SAM12,-0.07423256,-0.776691729,0.008270677,-5.48E-05,108.2,541,116.6,1166,30.8,154,32.1,321,22.71709671,22.89190651,0.023441914,0.048949197
SAM14,-0.067943752,-0.527067669,0.395488722,5.71E-06,121.2,606,123.2,1232,29.4,147,29.2,292,23.19588622,23.25253764,0.022932334,0.052248101
SAM15,-0.067943752,-0.527067669,0.395488722,5.71E-06,121.2,606,123.2,1232,29.4,147,29.2,292,23.19588622,23.25253764,0.022932334,0.052248101
SAM16,-0.068795315,-0.490225564,0.303759398,5.33E-06,114.2,571,117.9,1179,31.2,156,30,300,22.93883996,23.01912997,0.022776622,0.051575643
SAM17,-0.055752281,-0.021052632,-0.259398496,8.63E-05,102,510,100.8,1008,35.8,179,36.5,365,21.99654513,21.96415031,0.031089003,0.069808666
SAM18,-0.055752281,-0.021052632,-0.259398496,8.63E-05,102,510,100.8,1008,35.8,179,36.5,365,21.99654513,21.96415031,0.031089003,0.069808666
SAM19,-0.096275394,-0.193233083,3.006015038,0.000136285,18.4,92,16.8,168,126.8,634,114,1140,14.43318666,14.64832644,0.056853598,0.137579678
SAM20,-0.077517992,-0.130075188,0.579699248,7.89E-05,39.8,199,40.5,405,57,285,55.2,552,NA,NA,NA,NA
SAM21,-0.077517992,-0.130075188,0.579699248,7.89E-05,39.8,199,40.5,405,57,285,55.2,552,NA,NA,NA,NA
SAM25,-0.051028491,0.264661654,1.073684211,9.58E-05,31.6,158,30.4,304,56.4,282,57,570,16.76480762,16.6203441,0.04371096,0.090328381
SAM26,-0.064919429,0.307518797,1.073684211,0.000105216,31.6,158,30.4,304,56.4,282,57,570,16.76480762,16.6203441,0.04371096,0.090328381
SAM27,-0.064919429,0.307518797,1.073684211,0.000105216,31.6,158,30.4,304,56.4,282,57,570,16.76480762,16.6203441,0.04371096,0.090328381
SAM28,-0.16063452,-0.819548872,1.073684211,0.000144521,26.2,131,23.7,237,56.4,282,57,570,15.65889206,15.99704921,0.044957607,0.09788705
SAM29,-0.046507806,0.342105263,1.298496241,3.27E-05,32.6,163,31.2,312,57,285,56.6,566,16.75670875,16.64402284,0.041430155,0.091043968
SAM30,-0.046507806,0.342105263,1.298496241,3.27E-05,32.6,163,31.2,312,57,285,56.6,566,16.75670875,16.64402284,0.041430155,0.091043968
SAM31,-0.036155647,0.342105263,1.298496241,5.01E-05,32.6,163,31.2,312,57,285,56.6,566,16.84158147,16.66501989,0.042959096,0.091283254
SAM32,-0.035924201,0.357142857,1.266917293,5.65E-05,32.2,161,30.4,304,56.8,284,56.6,566,16.80640736,16.62955212,0.043873141,0.092467602
SAM33,0.026816785,-0.107518797,-0.360902256,9.35E-05,56.6,283,52.4,524,44.6,223,45.7,457,19.83094354,19.68450113,0.02839884,0.058073759
SAM34,0.028196199,-0.043609023,-0.326315789,9.47E-05,54.2,271,50.7,507,47.2,236,48.1,481,19.63824078,19.50137773,0.028755484,0.058442452
SAM35,-0.006461006,0.107518797,0.372180451,8.30E-05,47.6,238,44.5,445,39,195,40.1,401,19.20809305,19.08405411,0.03602859,0.072701304
SAM36,-0.00917123,0.3,0.604511278,6.76E-05,44.4,222,39.9,399,32.4,162,33.7,337,19.0165268,18.90514258,0.036948953,0.075714548
SAM37,0.028196199,-0.043609023,-0.326315789,9.47E-05,54.2,271,50.7,507,47.2,236,48.1,481,19.63824078,19.50137773,0.028755484,0.058442452
SAM38,0.000509576,-0.284210526,0.033082707,0.000110618,58,290,54.7,547,45.4,227,46.3,463,20.06714101,19.89361382,0.03169877,0.06504591
SAM39,-0.010503475,0.287969925,0.547368421,6.80E-05,44.6,223,40.2,402,30.4,152,32.3,323,19.11203904,19.00109646,0.036952667,0.076072301
SAM41,-0.046096593,0.909022556,1.253383459,8.05E-05,49.2,246,49.4,494,34.8,174,34.9,349,19.54186041,19.46244407,0.042324771,0.074837833
SAM44,-0.153226416,-0.707518797,1.073684211,0.000150336,27.2,136,24.2,242,56.4,282,57,570,15.71658646,15.88244347,0.045027607,0.097695114
SAM45,-0.149891918,-0.633834586,1.073684211,0.000147858,27.8,139,24.5,245,56.4,282,57,570,15.83733918,15.87403801,0.044177606,0.098231673
SAM46,-0.168675293,-0.77518797,1.073684211,0.000145035,27.2,136,24.2,242,56.4,282,57,570,15.69222536,15.92627726,0.043716316,0.098141673
SAM8,-0.072571335,-0.861654135,-0.081203008,-6.22E-05,106.6,533,114.8,1148,29.4,147,31.8,318,22.69239971,22.85586243,0.022891747,0.047665691
WAM55,-0.0891453,-0.272180451,NA,0.000279148,34.8,174,34,340,NA,NA,NA,NA,20.03668617,19.96586926,0.087003656,0.164020464
WAM56,-0.029489725,-0.151879699,-0.011278195,0.000263642,136.8,684,138.1,1381,0,0,0,0,25.75428012,25.78637412,0.060702761,0.126636966
WAM57,-0.029489725,-0.151879699,-0.011278195,0.000263642,136.8,684,138.1,1381,0,0,0,0,25.75428012,25.78637412,0.060702761,0.126636966
WAM58,0.057052791,0.369924812,-0.006766917,5.52E-05,30.6,153,29,290,0,0,0,0,22.43424209,22.36555124,0.033757517,0.074740269
WAM59,-0.02240443,-0.616541353,0,0.000587344,81.4,407,78.1,781,0,0,0,0,26.46385288,26.43703775,0.203739535,0.457158263
WAM60,-0.02240443,-0.616541353,0,0.000587344,81.4,407,78.1,781,0,0,0,0,26.46385288,26.43703775,0.203739535,0.457158263
WAM63,-0.111011779,-0.242857143,0.92556391,0.000361481,146,730,138.6,1386,18.8,94,15.1,151,24.14664135,24.24687114,0.055894617,0.133129186
WAM64,-0.111011779,-0.242857143,0.92556391,0.000361481,146,730,138.6,1386,18.8,94,15.1,151,24.14664135,24.24687114,0.055894617,0.133129186