,COLLECTION.ID,Number,ID,SAMPLE.ID,SEX,SPECIES,COLLECTION,COMMON.NAME,DATE,Period,Year,Age,LATITUDE,LONGITUDE,STATE,MISSINGNESS,INBREEDING,DEPTH,PC1,PC2,PC3,RecordID_ALA.ORIGINAL,RecordID_ALA,CatalogNumber,Collection,MonthCapture,YearCapture,Latitude,Longitude,distance2coast_m,elevation,IBRA_REG_CODE_7,IBRA_REG_NAME_7,NOTE
62,B41644,46,ANWC84_R1.fastq.gz,ANWC84,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,18/10/88,1986 - 1990,1988,31,-17.8667,141.1333,QLD,0.0846338,0.18702962,2.90825,0.141367061,0.094568477,-0.113048505,8d711135-1639-4eb9-ae77-237e2519ab0d,8d711135-1639-4eb9-ae77-237e2519ab0d,B41644,ANWC,10,1988,-17.8667,141.1333,56528.85369,7.567935944,GUP,Gulf Plains,NA
61,B33369,113,ANWC81_R1.fastq.gz,ANWC81,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,22/5/02,2001 - 2005,2002,17,-26.6267,113.8328,WA,0.0507814,0.25359157,5.67899,-0.416129238,-0.314161512,-0.100526294,8e73faba-63d0-4cf9-993a-f9294e4c0dd1,8e73faba-63d0-4cf9-993a-f9294e4c0dd1,B33369,ANWC,5,2002,-26.6267,113.8328,4910,19.60143089,YAL,Yalgoo,NA
114,B55292,51,ANWC156_R1.fastq.gz,ANWC156,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,24/7/10,2006 - 2010,2010,9,-19.2103,126.1069,WA,0.145834,0.13944943,2.38082,-0.311740313,0.081650292,0.087021498,8f613854-cf48-44eb-8c5f-98c99746f0cd,8f613854-cf48-44eb-8c5f-98c99746f0cd,B55292,ANWC,7,2010,-19.2103,126.1069,321489.5875,234.4696045,OVP,Ord Victoria Plain,NA
122,B55501,62,ANWC168_R1.fastq.gz,ANWC168,F,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,31/10/10,2006 - 2010,2010,9,-23.6633,146.9611,QLD,0.0321855,0.11977354,4.05294,0.249493548,0.031868454,0.003034837,90fe1b82-789c-4dc5-bceb-cb813c723b12,90fe1b82-789c-4dc5-bceb-cb813c723b12,B55501,ANWC,10,2010,-23.6633,146.9611,306785.359,364.223114,BBN,Brigalow Belt North,NA
52,B29378,65,ANWC69_R1.fastq.gz,ANWC69,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,5/10/01,2001 - 2005,2001,18,-17.575,139.75,QLD,0.193395,0.19249852,1.84503,0.107614995,0.18884942,-0.273008799,942b28d2-963c-47c5-a849-4e5804d1f4a3,942b28d2-963c-47c5-a849-4e5804d1f4a3,B29378,ANWC,10,2001,-17.625,139.8,5610,0.9631688,GUP,Gulf Plains,NA
20,ABTC113312,50,SAM31_R1.fastq.gz,SAM31,F,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,11/10/05,2001 - 2005,2005,14,-34.3422,139.4861,SA,0.0571674,0.12594672,4.1886,0.797890552,-0.064671438,0.141331379,957c195a-53e7-45fb-9084-f3be5721ce2b,957c195a-53e7-45fb-9084-f3be5721ce2b,ABTC113312,ABTC,10,2005,-34.3422,139.4861,101218.363,80.13612366,MDD,Murray Darling Depression,NA
89,B54133,39,ANWC130_R1.fastq.gz,ANWC130,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,5/8/08,2006 - 2010,2008,11,-28.5339,128.2333,WA,0.20927,0.49589434,3.89226,-0.327106101,-0.175328668,-0.059209534,97f5072c-b831-476f-9cc8-740906154f45,97f5072c-b831-476f-9cc8-740906154f45,B54133,ANWC,8,2008,-28.5339,128.2333,357695.3918,339.9645996,GVD,Great Victoria Desert,NA
50,B29337.a,112,ANWC67_R1.fastq.gz,ANWC67,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,4/10/01,2001 - 2005,2001,18,-17.7333,139.5917,QLD,0.036049,0.18283395,4.78044,0.106327375,0.49510221,-0.789152942,a37aca6a-d968-4e9d-9cc8-d820c12025c6,a37aca6a-d968-4e9d-9cc8-d820c12025c6,B29337,ANWC,10,139.5917,-17.7333,-17.7333,24494.61165,2.078464031,GUP,Gulf Plains,NA
44,ABTC84315,81,SAM19_R1.fastq.gz,SAM19,M,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,23/9/99,1996 - 2000,1999,20,-26.983,134.8108,VIC,0.191923,0.49337047,5.00193,0.761230308,-0.037223348,0.067740459,a643600a-d92d-4039-b2ae-1b4001c17824,a643600a-d92d-4039-b2ae-1b4001c17824,ABTC84315,ABTC,12,1999,-36.3333,141.65,163576.5096,136.5704956,MDD,Murray Darling Depression,NA
39,ABTC38801,27,SAM14_R1.fastq.gz,SAM14,M,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,11/9/98,1996 - 2000,1998,21,-26.0417,137.6036,SA,0.104195,0.12666239,2.55561,0.008178211,-0.011491343,-0.00936906,aa1d807b-e325-41ad-ad73-fb85dd3239d5,aa1d807b-e325-41ad-ad73-fb85dd3239d5,ABTC38801,ABTC,9,1998,-26.0417,137.6036,734975.6054,26.7509594,SSD,Simpson Strzelecki Dunefields,NA
77,B49452,87,ANWC109_R1.fastq.gz,ANWC109,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,19/10/97,1996 - 2000,1997,22,-32.2111,142.2208,NSW,0.0747729,0.12378978,2.81289,0.467378014,-0.013821919,0.024068385,aa700b0d-8ea3-4db3-9109-ad8a7fd2283e,aa700b0d-8ea3-4db3-9109-ad8a7fd2283e,B49452,ANWC,10,1997,-32.2111,142.2208,403367.3592,73.0911026,BHC,Broken Hill Complex,NA
117,B55371,43,ANWC159_R1.fastq.gz,ANWC159,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,26/7/10,2006 - 2010,2010,9,-18.5514,127.6862,WA,0.0775432,0.1238783,2.89146,-0.28581721,0.101892767,0.093123217,ab5e4099-5296-4204-97fd-58237dd9f434,ab5e4099-5296-4204-97fd-58237dd9f434,B55371,ANWC,7,2010,-18.5514,127.6862,343475.728,412.9125061,OVP,Ord Victoria Plain,NA
27,ABTC119649,42,SAM35_R1.fastq.gz,SAM35,,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,6/8/07,2006 - 2010,2007,12,-29.9192,131.1906,SA,0.190738,0.19467406,2.19279,-0.247584773,-0.085580987,-0.026119168,afa0684d-f71a-443a-9ae8-4eb0b18ef864,afa0684d-f71a-443a-9ae8-4eb0b18ef864,ABTC119649,ABTC,8,2007,-29.9192,131.1906,173910,260.85849,GVD,Great Victoria Desert,NA
107,B55221,92,ANWC148_R1.fastq.gz,ANWC148,,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,21/7/10,2006 - 2010,2010,9,-18.7082,126.0601,WA,0.0381448,0.12199261,3.67436,-0.391421927,0.329717498,0.374339867,ANWC_0055,ANWC_0055,B55221,ANWC,7,2010,-18.7082,126.0601,280157.4973,239.5233002,OVP,Ord Victoria Plain,NA
108,B55255,93,ANWC150_R1.fastq.gz,ANWC150,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,22/7/10,2006 - 2010,2010,9,-18.7338,126.0972,WA,0.0522183,0.12498853,3.61833,-0.325716189,0.149968532,0.155816041,ANWC_0056,ANWC_0056,B55255,ANWC,7,2010,-18.7338,126.0972,287328.5132,291.7756042,OVP,Ord Victoria Plain,NA
57,B32899,88,ANWC77_R1.fastq.gz,ANWC77,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,4/5/02,2001 - 2005,2002,17,-26.7461,125.5128,WA,0.0879682,0.13125929,2.99757,-0.270657684,-0.113852015,-0.037635095,b1e87d74-340a-4a00-bcfb-7e3a3e85ffba,b1e87d74-340a-4a00-bcfb-7e3a3e85ffba,B32899,ANWC,5,2002,-26.7461,125.5128,613786.4567,433.6838074,GID,Gibson Desert,NA
72,B48426,61,ANWC104_R1.fastq.gz,ANWC104,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,7/9/96,1996 - 2000,1996,23,-32.0911,133.6228,SA,0.159332,0.13024583,1.93588,-0.095547216,-0.053593109,-0.019511794,b5a58981-9c99-4633-b0d3-dbcf28a2f2d6,b5a58981-9c99-4633-b0d3-dbcf28a2f2d6,B48426,ANWC,9,1996,-32.0411,133.6228,7455.212941,23.37136078,EYB,Eyre Yorke Block,NA
100,B54738,82,ANWC141_R1.fastq.gz,ANWC141,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,17/7/09,2006 - 2010,2009,10,-14.17,133.728,NT,0.0169914,0.09007522,4.91115,-0.200553049,0.144823595,-0.00697968,b7084ee4-a426-4513-b694-59c687ecd597,b7084ee4-a426-4513-b694-59c687ecd597,B54738,ANWC,7,2009,-14.17,133.728,191864.83,164.585907,GFU,Gulf Fall and Uplands,NA
25,ABTC119496,25,SAM33_R1.fastq.gz,SAM33,,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,28/7/07,2006 - 2010,2007,12,-29.7253,130.1203,SA,0.0110693,0.08960829,7.34389,-0.243753755,-0.148694031,-0.051460189,bc99f647-1314-4f63-9422-161c0bda22b7,bc99f647-1314-4f63-9422-161c0bda22b7,ABTC119496,ABTC,7,2007,-29.7253,130.1203,206737.9929,158.6623993,GVD,Great Victoria Desert,NA
67,B46630,47,ANWC94_R1.fastq.gz,ANWC94,F,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,26/10/94,1991 - 1995,1994,25,-33.5,138.0639,SA,0.127943,0.09573478,2.27543,0.474463927,-0.015300604,0.029522698,c1e54fa6-01f0-4547-b7e8-d2d319ab5662,c1e54fa6-01f0-4547-b7e8-d2d319ab5662,B46630,ANWC,10,1994,-33.5,138.0639,14730,28.24226952,EYB,Eyre Yorke Block,NA
106,B55220,86,ANWC147_R1.fastq.gz,ANWC147,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,21/7/10,2006 - 2010,2010,9,-18.7082,126.0601,WA,0.083583,0.18428822,2.89823,-0.440090398,0.342893022,0.386251868,c2b5a929-bcd3-4c3c-b63b-65f7330739f6,c2b5a929-bcd3-4c3c-b63b-65f7330739f6,B55220,ANWC,7,2010,-18.7082,126.0601,280157.4973,239.5233002,OVP,Ord Victoria Plain,NA
95,B54288,49,ANWC136_R1.fastq.gz,ANWC136,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,12/8/08,2006 - 2010,2008,11,-28.0342,126.0433,WA,0.151054,0.36369422,3.29053,-0.320160561,-0.158811863,-0.048644441,c2dc3387-74df-4a35-b647-e48d5d40b2c8,c2dc3387-74df-4a35-b647-e48d5d40b2c8,B54288,ANWC,8,2008,-28.0342,126.0433,467283.8701,395.9198914,GVD,Great Victoria Desert,NA
38,ABTC37976,28,SAM12_R1.fastq.gz,SAM12,F,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,21/9/97,1996 - 2000,1997,22,-26.1936,136.7694,SA,0.169495,0.09978431,1.87175,0.024181133,-0.012164843,-0.009376635,c33fb6dc-a83c-421f-8c89-73a566abe7b9,c33fb6dc-a83c-421f-8c89-73a566abe7b9,ABTC37976,ABTC,9,1997,-26.1936,136.7694,726499.4735,60.87197876,SSD,Simpson Strzelecki Dunefields,NA
94,B54287,35,ANWC135_R1.fastq.gz,ANWC135,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,12/8/08,2006 - 2010,2008,11,-28.0342,126.0433,WA,0.0276421,0.08844443,3.98807,-0.236039488,-0.112943117,-0.04603591,c3f7ff0f-2be6-481c-94c2-13a255ea5f45,c3f7ff0f-2be6-481c-94c2-13a255ea5f45,B54287,ANWC,8,2008,-28.0342,126.0433,467283.8701,395.9198914,GVD,Great Victoria Desert,NA
31,ABTC119904,58,SAM39_R1.fastq.gz,SAM39,,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,8/8/07,2006 - 2010,2007,12,-30.1594,131.6447,SA,0.262303,0.19838569,1.75868,-0.231908287,-0.081314046,-0.020787617,c7461441-7a31-4dcb-adea-20a170e8ee84,c7461441-7a31-4dcb-adea-20a170e8ee84,ABTC119904,ABTC,8,2007,-30.1594,131.6447,152407.0067,244.7776947,GVD,Great Victoria Desert,NA
54,B32773,109,ANWC72_R1.fastq.gz,ANWC72,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,1/5/02,2001 - 2005,2002,17,-28.4108,134.1861,SA,0.0799029,0.12542631,3.0275,-0.115614786,-0.077226379,-0.029826812,cbcb1fe5-d76d-4be0-8840-99e7be792b10,cbcb1fe5-d76d-4be0-8840-99e7be792b10,B32773,ANWC,5,2002,-28.4108,134.1861,420018.4383,256.7723083,STP,Stony Plains,NA
88,B54119,37,ANWC129_R1.fastq.gz,ANWC129,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,4/8/08,2006 - 2010,2008,11,-28.4661,127.445,WA,0.0772565,0.0996539,2.90795,-0.294316603,-0.141233281,-0.042796305,cee1c91f-182b-4fd1-b974-865af3f8b32b,cee1c91f-182b-4fd1-b974-865af3f8b32b,B54119,ANWC,8,2008,-28.4661,127.445,386780.8931,308.6156921,GVD,Great Victoria Desert,NA
110,B55279,40,ANWC152_R1.fastq.gz,ANWC152,F,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,23/7/10,2006 - 2010,2010,9,-19.189,126.1982,WA,0.0725722,0.09531102,2.91244,-0.215549036,0.039897361,0.029677309,d17ad1c2-f5b7-400e-a25e-ea081be7598d,d17ad1c2-f5b7-400e-a25e-ea081be7598d,B55279,ANWC,7,2010,-19.189,126.1982,329049.5514,239.9998016,GSD,Great Sandy Desert,NA
59,B33180,52,ANWC79_R1.fastq.gz,ANWC79,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,13/5/02,2001 - 2005,2002,17,-22.9406,117.3889,WA,0.147578,0.1280131,2.17741,0.472955512,-0.009675253,0.013745562,d1d5769e-6375-48e8-bd9e-54cc31ccc4f3,d1d5769e-6375-48e8-bd9e-54cc31ccc4f3,B33180,ANWC,5,2002,-22.9406,117.3889,247620.1026,389.6250916,PIL,Pilbara,NA
66,B46574,31,ANWC92_R1.fastq.gz,ANWC92,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,23/10/94,1991 - 1995,1994,25,-35.125,137.1958,SA,0.131979,0.37015358,3.34417,0.594138094,-0.014325232,0.03369197,d364ab15-67a3-4a92-a4c5-20f07bec14f3,d364ab15-67a3-4a92-a4c5-20f07bec14f3,B46574,ANWC,10,1994,-35.125,137.1958,7455.212941,52.18511963,EYB,Eyre Yorke Block,NA
28,ABTC119685,11,SAM36_R1.fastq.gz,SAM36,,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,8/8/07,2006 - 2010,2007,12,-30.1544,131.5667,SA,0.0833713,0.25736827,4.89372,-0.210695616,-0.139832844,-0.04292757,da0ae6f7-d38c-4304-b8af-08df77c8e845,da0ae6f7-d38c-4304-b8af-08df77c8e845,ABTC119685,ABTC,8,2007,-30.1544,131.5667,149854.718,287.884613,GVD,Great Victoria Desert,NA
115,B55308,101,ANWC157_R1.fastq.gz,ANWC157,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,24/7/10,2006 - 2010,2010,9,-19.1147,126.133,WA,0.207705,0.49909714,4.14855,-0.347587505,0.10774568,0.12039846,da972607-8f94-467a-be77-f0d5f93fdc87,da972607-8f94-467a-be77-f0d5f93fdc87,B55308,ANWC,7,2010,-19.1147,126.133,314362.1677,213.9104004,OVP,Ord Victoria Plain,NA
56,B32845,66,ANWC75_R1.fastq.gz,ANWC75,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,2/5/02,2001 - 2005,2002,17,-25.2233,133.115,NT,0.115538,0.12644482,2.51224,-0.050197779,-0.030185797,-0.0139165,dcbe6937-5cef-40c6-a152-20213daefa6d,dcbe6937-5cef-40c6-a152-20213daefa6d,B32845,ANWC,5,2002,-25.2233,133.115,725647.0622,414.2562866,FIN,Finke,NA
90,B54149,38,ANWC131_R1.fastq.gz,ANWC131,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,5/8/08,2006 - 2010,2008,11,-28.4636,128.0967,WA,0.135805,0.09967743,2.1983,-0.293461164,-0.121912047,-0.034151695,e66d13cb-79a2-4508-a193-7f2f6efac501,e66d13cb-79a2-4508-a193-7f2f6efac501,B54149,ANWC,8,2008,-28.4636,128.0967,370961.9195,332.9543152,GVD,Great Victoria Desert,NA
2,A35582,4,WAM56_R1.fastq.gz,WAM56,,Malurus assimilis,WAM,Purple-Backed Fairy Wren,30/9/04,2001 - 2005,2004,15,-22.1197,115.5697,WA,0.0235236,0.1188192,5.44107,-0.362469683,-0.237798728,-0.06905843,EA10,EA10,A35582,WAM,9,2004,-22.1197,115.5697,63364.82936,146.3050995,PIL,Pilbara,NA
5,A35583,3,WAM57_R1.fastq.gz,WAM57,,Malurus assimilis,WAM,Purple-Backed Fairy Wren,30/9/04,2001 - 2005,2004,15,-22.1197,115.5697,WA,0.242891,0.13135716,1.71251,-0.389522147,-0.137004923,-0.040182092,EA11,EA11,A35583,WAM,9,2004,-22.1197,115.5697,63364.82936,146.3050995,PIL,Pilbara,NA
6,A35745,30,WAM58_R1.fastq.gz,WAM58,,Malurus assimilis,WAM,Purple-Backed Fairy Wren,17/7/04,2001 - 2005,2004,15,-25.9,113.5333,WA,0.153702,0.19190225,2.14343,-0.433429237,-0.213350031,-0.061011628,EA12,EA12,A35745,WAM,7,2004,-25.9,113.5333,4910,9.095258713,CAR,Carnarvon,NA
7,A36181,115,WAM59_R1.fastq.gz,WAM59,,Malurus assimilis,WAM,Purple-Backed Fairy Wren,31/5/05,2001 - 2005,2005,14,-15.1,125.2,WA,0.110701,0.19041781,2.49836,-0.615857103,0.27881103,0.341198013,EA13,EA13,A36181,WAM,5,2005,-15.1,125.2,0,148.9687042,NOK,Northern Kimberley,NA
9,A36182,2,WAM60_R1.fastq.gz,WAM60,,Malurus assimilis,WAM,Purple-Backed Fairy Wren,21/5/05,2001 - 2005,2005,14,-15.1,125.2,WA,0.143791,0.19224502,2.1537,-0.623517525,0.268105121,0.331242048,EA14,EA14,A36182,WAM,5,2005,-15.1,125.2,0,148.9687042,NOK,Northern Kimberley,NA
32,ABTC143564,10,SAM41_R1.fastq.gz,SAM41,,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,7/11/12,2011 - 2015,2012,7,-32.4981,137.8008,SA,0.198735,0.13076752,2.04964,0.309984635,-0.01420235,0.007086948,EA20,EA20,ABTC143564,ABTC,11,2012,-32.4981,137.8008,11220,12.41429996,GAW,Gawler,NA
1,A35183,5,WAM55_R1.fastq.gz,WAM55,,Malurus assimilis,WAM,Purple-Backed Fairy Wren,21/11/92,1991 - 1995,1992,27,-28.8,114.6167,WA,0.195708,0.37466046,2.98253,-0.44051387,-0.225345768,-0.064751239,EA9,EA9,A35183,WAM,11,1992,-28.75,114.6667,9820,34.98936844,GES,Geraldton Sandplains,NA
14,ABTC113231,18,SAM25_R1.fastq.gz,SAM25,,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,25/10/04,2001 - 2005,2004,15,-34.3753,139.4794,SA,0.0619623,0.09412797,3.45333,0.799868973,-0.064327904,0.139108203,edfe4668-3aab-45dc-98b8-203a80e37c92,edfe4668-3aab-45dc-98b8-203a80e37c92,ABTC113231,ABTC,10,2004,-34.3753,139.4794,99176.70946,80.77060699,MDD,Murray Darling Depression,NA
92,B54257,48,ANWC133_R1.fastq.gz,ANWC133,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,11/8/08,2006 - 2010,2008,11,-28.2997,125.9081,WA,0.143314,0.37522253,4.31129,-0.328133562,-0.165631026,-0.048147288,f4c8330b-cb02-4e06-a728-65c2163b27b4,f4c8330b-cb02-4e06-a728-65c2163b27b4,B54257,ANWC,8,2008,-28.2997,125.9081,440900.5971,325.2197876,GVD,Great Victoria Desert,NA
87,B54114,83,ANWC128_R1.fastq.gz,ANWC128,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,4/8/08,2006 - 2010,2008,11,-28.5586,127.3619,WA,0.0508884,0.18227711,4.60444,-0.274372851,-0.134191571,-0.044940438,f85ca02f-215a-4c6b-bbcd-ceedf21444d8,f85ca02f-215a-4c6b-bbcd-ceedf21444d8,B54114,ANWC,8,2008,-28.5586,127.3619,380757.991,339.4086914,GVD,Great Victoria Desert,NA
46,ABTC85134,21,SAM21_R1.fastq.gz,SAM21,F,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,25/9/99,1996 - 2000,1999,20,-26.9832,134.811,SA,0.119553,0.09483055,2.31767,-0.044948915,-0.053793046,-0.011841941,fc262a1e-821b-4f88-90e0-a7991fa970c0,fc262a1e-821b-4f88-90e0-a7991fa970c0,ABTC85134,ABTC,11,1997,-32.3667,135.45,110326.2163,340.0235901,GAW,Gawler,NA
99,B54701,36,ANWC140_R1.fastq.gz,ANWC140,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,14/7/09,2006 - 2010,2009,10,-14.761,134.192,NT,0.0385292,0.176329,4.20415,-0.209881279,0.151275901,0.002723732,fcde843f-333e-4cc0-adb6-4f5dd089c7c2,fcde843f-333e-4cc0-adb6-4f5dd089c7c2,B54701,ANWC,7,2009,-14.761,134.192,132570,56.27629089,GFU,Gulf Fall and Uplands,NA
69,B48235,64,ANWC101_R1.fastq.gz,ANWC101,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,30/8/96,1996 - 2000,1996,23,-30.3228,139.3806,SA,0.094201,0.12469589,2.6288,0.300511557,-0.014319114,0.01053378,fe0f6ed2-facc-446f-be95-aa3f17eab95f,fe0f6ed2-facc-446f-be95-aa3f17eab95f,B48235,ANWC,8,1996,-30.3228,139.3806,295268.8715,277.7473145,FLB,Flinders Lofty Block,NA
81,B52745,76,ANWC115_R1.fastq.gz,ANWC115,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,3/11/09,2006 - 2010,2009,10,-24.1106,143.1869,QLD,0.0329289,0.09184673,4.1622,0.440149268,0.014566992,0.012371063,NA,cf291072-9a61-465e-8b2f-2cea9ef6cc03,NA,NA,11,2009,NA,NA,653223.6684,178.7265015,MGD,Mitchell Grass Downs,used data from other specimens from same location
82,B52746,79,ANWC116_R1.fastq.gz,ANWC116,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,3/11/09,2006 - 2010,2009,10,-24.1106,143.1869,QLD,0.0537862,0.0938411,3.50413,0.450976627,0.010181933,0.010623349,NA,cf291072-9a61-465e-8b2f-2cea9ef6cc03,NA,NA,11,2009,NA,NA,653223.6684,178.7265015,MGD,Mitchell Grass Downs,used data from other specimens from same location
83,B52750,63,ANWC117_R1.fastq.gz,ANWC117,F,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,10/11/09,2006 - 2010,2009,10,-29.4706,149.8464,NSW,0.101099,0.10000011,2.49924,0.455363595,0.001968252,0.011434768,NA,fe7dffb2-f5ae-4399-b920-f162d69dfb09,NA,NA,11,2009,NA,NA,323720.9493,240.4832001,BBS,Brigalow Belt South,used data from other specimens from same location
84,B52751,44,ANWC118_R1.fastq.gz,ANWC118,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,10/11/09,2006 - 2010,2009,10,-29.4706,149.8464,NSW,0.109441,0.12691192,2.50521,0.455916447,0.002571099,0.014379248,NA,fe7dffb2-f5ae-4399-b920-f162d69dfb09,NA,NA,11,2009,NA,NA,323720.9493,240.4832001,BBS,Brigalow Belt South,used data from other specimens from same location
85,B53877,45,ANWC119_R1.fastq.gz,ANWC119,F,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,10/10/15,2011 - 2015,2015,4,-13.431,132.419,NT,0.0590111,0.17956407,3.55365,-0.225567946,0.054636536,0.028350633,NA,5ec07878-9663-46d6-86ad-58a5e4a3de2e,NA,NA,10,2015,NA,NA,117810,100.7722015,ARP,Arnhem Plateau,used data from other specimens from same location
93,B54278,111,ANWC134_R1.fastq.gz,ANWC134,F,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,11/8/08,2006 - 2010,2008,11,-28.3039,126.1844,WA,0.0334658,0.08998862,3.80538,-0.292005157,-0.154832931,-0.051195246,NA,153f69e4-7a80-4dfa-8fc6-9765613cb5de,NA,NA,8,2008,NA,NA,438268.1358,389.6064148,GVD,Great Victoria Desert,used data from other specimens from same location
58,B33013,116,ANWC78_R1.fastq.gz,ANWC78,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,7/5/02,2001 - 2005,2002,17,-24.3267,119.6961,WA,0.0830137,0.36605814,7.69235,0.562507221,-0.022510767,0.053643821,NA,85782a2b-08aa-4cd0-a35a-d35e7d1c2873,NA,NA,5,2002,NA,NA,453018.7961,619.2324219,GAS,Gascoyne,used data from other specimens from same location
65,B46525,32,ANWC90_R1.fastq.gz,ANWC90,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,22/10/94,1991 - 1995,1994,25,-34.9519,137.4006,SA,0.153398,0.19076084,2.25873,0.555872772,-0.011683547,0.029408714,NA,a1e34fec-4d3e-4629-b403-b9b0cfea4ad6,NA,NA,10,1994,NA,NA,4910,3.629498959,EYB,Eyre Yorke Block,used data from other specimens from same location
22,ABTC114048,9,SAM44_R1.fastq.gz,SAM44,,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,22/10/04,2001 - 2005,2004,15,-34.3753,139.4794,SA,0.0306727,0.12168428,5.69431,0.697379627,-0.047479005,0.102292501,NA,3c084a72-ec53-4578-a32d-dabc73076cb4,NA,NA,10,2004,NA,NA,99176.70946,80.77060699,MDD,Murray Darling Depression,used data from other specimens from same location
23,ABTC114049,73,SAM45_R1.fastq.gz,SAM45,,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,22/10/04,2001 - 2005,2004,15,-34.3753,139.4794,SA,0.0666037,0.09330678,3.15276,0.692144824,-0.038786801,0.078734418,NA,3c084a72-ec53-4578-a32d-dabc73076cb4,NA,NA,10,2004,NA,NA,99176.70946,80.77060699,MDD,Murray Darling Depression,used data from other specimens from same location
24,ABTC114050,7,SAM46_R1.fastq.gz,SAM46,,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,25/10/04,2001 - 2005,2004,15,-34.3753,139.4794,SA,0.190534,0.13073273,2.00379,0.709464331,-0.026292225,0.063859753,NA,3c084a72-ec53-4578-a32d-dabc73076cb4,NA,NA,10,2004,NA,NA,99176.70946,80.77060699,MDD,Murray Darling Depression,used data from other specimens from same location